CountryName,WebIndexRank,WebIndexScore,UniversalAccessRank,A-UniversalAccess,A1-CommunicationsInfrastructure,A2-AccessAndAffordability,A3-EducationAndAwareness,FreedomAndOpennessRank,B-FreedomAndOpenness,RelevantContentRank,C-RelevantContent,C1-ContentCreation,C2-WebUse,EmpowermentRank,D-Empowerment,D1-EconomicImpact,D2-PoliticalImpact,D3-SocialAndEnvironmental,CountryCode,IncomeGroup,Region,mapID
Sweden,1,100,3,94.4,86.3,94.3,95.2,6,86.1,5,90.1,86.6,86.9,2,92.2,82.8,93.1,99.2,SWE,High income: OECD,Europe & Central Asia,752
Norway,2,97.5,6,87.6,85.4,87.5,86.9,1,100,4,90.2,84.3,89.3,4,77.8,77.1,90.1,69.1,NOR,High income: OECD,Europe & Central Asia,578
United Kingdom,3,95.6,8,86.2,81.4,92.4,81.1,24,73.5,1,100,100,91.8,3,87.3,89.5,100,73.3,GBR,High income: OECD,Europe & Central Asia,826
United States,4,95.2,12,85.1,67.9,91.1,94.3,27,71,10,88,99,71.7,1,100,100,95.2,100,USA,High income: OECD,North America,840
New Zealand,5,92.4,11,85.8,83.2,88.2,83.6,8,83.4,3,90.7,85,89.4,5,77.8,78.4,81.5,74.9,NZL,High income: OECD,East Asia & Pacific,554
Denmark,6,92.4,2,96,99.2,89.7,91.6,7,84.8,7,89.8,78.9,93.6,12,69.4,66,87.4,60.7,DNK,High income: OECD,Europe & Central Asia,208
Finland,7,91.9,9,85.9,80.6,88.7,86.1,2,95.1,13,84.2,80.2,82.6,10,71.7,77.5,87,54.9,FIN,High income: OECD,Europe & Central Asia,246
Iceland,8,91.9,1,100,98.6,91.9,100,3,92.2,9,88.3,69.3,100,17,59.5,59.4,73.8,52.4,ISL,High income: OECD,Europe & Central Asia,352
France,9,90.9,16,82.3,68.9,89.4,88.2,5,86.9,8,88.9,97.3,74.9,6,74.4,64.6,88.8,74.4,FRA,High income: OECD,Europe & Central Asia,250
Korea (Rep. of),10,87.4,4,91.9,100,100,66.8,33,66.8,6,90,87.1,86.3,8,73.1,67.7,94.2,63.3,KOR,High income: OECD,East Asia & Pacific,410
Australia,11,86.4,15,82.4,74.6,94.5,75.8,30,67.7,2,92.6,86.5,91.4,7,74.3,68.2,88,71.1,AUS,High income: OECD,East Asia & Pacific,36
Netherlands,12,86.4,18,79,85.6,83.6,69.1,4,87.8,12,84.2,85.5,77.6,13,66.8,71.7,87,48,NLD,High income: OECD,Europe & Central Asia,528
Japan,13,86.4,14,84,89.4,90.4,69.4,15,78.9,15,82.9,79.3,81.1,9,71.9,62.2,79.2,78.4,JPN,High income: OECD,East Asia & Pacific,392
Austria,14,84.8,10,85.9,72.8,89.4,93.5,16,78.6,16,82.2,77.7,81.3,15,66.4,69.8,89.3,47.1,AUT,High income: OECD,Europe & Central Asia,40
